n,value,kryt,device
11,-12785.981212527951,AIC,microwave
11,-12031.50391756113,BIC,microwave
12,5048.942431241447,log_lig,ligthing2
12,-9763.884862482893,AIC,ligthing2
12,-8876.577057838813,BIC,ligthing2
12,-901.4393300009443,log_lig,lighting5
12,2136.8786600018884,AIC,lighting5
12,3024.186464645969,BIC,lighting5
12,-3913.7042771846095,log_lig,lighting4
12,8161.408554369219,AIC,lighting4
12,9048.716359013299,BIC,lighting4
12,-2712.0984216827032,log_lig,refrigerator
12,5758.1968433654065,AIC,refrigerator
12,6645.504648009487,BIC,refrigerator
12,6639.315930553613,log_lig,microwave
12,-12944.631861107226,AIC,microwave
12,-12057.324056463145,BIC,microwave
13,4386.856571750503,log_lig,ligthing2
13,-8385.713143501005,AIC,ligthing2
13,-7354.948388405486,BIC,ligthing2
13,-869.4726969377105,log_lig,lighting5
13,2126.945393875421,AIC,lighting5
13,3157.7101489709394,BIC,lighting5
13,5558.418652614381,log_lig,lighting4
13,-10728.837305228762,AIC,lighting4
13,-9698.072550133244,BIC,lighting4
13,-3093.0097003368987,log_lig,refrigerator
13,6574.0194006737975,AIC,refrigerator
13,7604.7841557693155,BIC,refrigerator
13,6559.579339993932,log_lig,microwave
13,-12731.158679987864,AIC,microwave
13,-11700.393924892345,BIC,microwave
14,4390.653487820928,log_lig,ligthing2
14,-8335.306975641855,AIC,ligthing2
14,-7150.458829320718,BIC,ligthing2
14,6036.197461378911,log_lig,lighting5
14,-11626.394922757821,AIC,lighting5
14,-10441.546776436684,BIC,lighting5
14,5549.173852307504,log_lig,lighting4
14,-10652.347704615007,AIC,lighting4
14,-9467.49955829387,BIC,lighting4
14,-2714.293557605751,log_lig,refrigerator
14,5874.587115211502,AIC,refrigerator
14,7059.43526153264,BIC,refrigerator
14,6532.925711178706,log_lig,microwave
14,-12619.851422357411,AIC,microwave
14,-11435.003276036274,BIC,microwave
15,-5746.195968742823,log_lig,ligthing2
15,12000.391937485647,AIC,ligthing2
15,13349.949915806583,BIC,ligthing2
15,-433.8322439765037,log_lig,lighting5
15,1375.6644879530074,AIC,lighting5
15,2725.222466273944,BIC,lighting5
15,5184.665801286704,log_lig,lighting4
15,-9861.331602573408,AIC,lighting4
15,-8511.773624252472,BIC,lighting4
15,-2718.0547585520776,log_lig,refrigerator
15,5944.109517104155,AIC,refrigerator
15,7293.667495425092,BIC,refrigerator
15,6091.512749292118,log_lig,microwave
15,-11675.025498584237,AIC,microwave
15,-10325.4675202633,BIC,microwave
16,4679.2287759901465,log_lig,ligthing2
16,-8784.457551980293,AIC,ligthing2
16,-7259.5633008853765,BIC,ligthing2
16,-880.162822576533,log_lig,lighting5
16,2334.325645153066,AIC,lighting5
16,3859.2198962479824,BIC,lighting5
16,5154.868879085421,log_lig,lighting4
16,-9735.737758170842,AIC,lighting4
16,-8210.843507075926,BIC,lighting4
16,-2827.955239044509,log_lig,refrigerator
16,6229.910478089018,AIC,refrigerator
16,7754.804729183935,BIC,refrigerator
16,6887.858536579504,log_lig,microwave
16,-13201.717073159009,AIC,microwave
16,-11676.822822064092,BIC,microwave
17,5163.145943371693,log_lig,ligthing2
17,-9682.291886743385,AIC,ligthing2
17,-7971.4349221003085,BIC,ligthing2
17,5743.910062004839,log_lig,lighting5
17,-10843.820124009679,AIC,lighting5
17,-9132.963159366602,BIC,lighting5
17,5624.218303545148,log_lig,lighting4
17,-10604.436607090296,AIC,lighting4
17,-8893.57964244722,BIC,lighting4
17,1719.4816915658657,log_lig,refrigerator
